location,type,bedrooms,bathrooms,parking,log_area,log_price
Los Rosales,Apartamento,3,5.0,0,5.703782474656201,21.947041268568526
Suba,Apartamento,2,2.0,0,4.174387269895637,20.14344734169347
Santa Fe,Apartamento,1,2.0,0,3.970291913552122,19.999659448901756
Usaquén,Apartamento,3,3.0,0,5.62040086571715,21.416413017506358
Santa Fe,Apartamento,1,2.0,0,4.204692619390966,20.322788270349285
El Chicó,Apartamento,2,3.0,0,4.990432586778736,21.595717530514058
Santa Fe,Apartamento,1,2.0,0,3.970291913552122,19.999659448901756
Chico Norte,Apartamento,4,3.0,0,5.0106352940962555,20.650695144111577
El Chicó,Apartamento,2,3.0,0,4.532599493153256,21.106322250553223
El Chicó,Apartamento,3,3.0,0,5.087596335232384,21.690873601006373
El Chicó,Apartamento,3,4.0,0,5.262690188904886,21.794501104889132
Usaquén,Apartamento,2,2.0,0,4.276666119016055,19.946737047447414
Usaquén,Apartamento,3,2.0,0,4.564348191467836,19.879295766651882
El Chicó,Apartamento,1,2.0,0,4.060443010546419,20.533438406226544
Cedritos,Casa,4,4.0,0,5.062595033026967,20.671972542558862
Niza,Apartamento,1,2.0,0,3.9512437185814275,19.92475814072864
Cedritos,Apartamento,3,2.0,0,4.07753744390572,19.67344371244773
El Retiro,Apartamento,3,2.0,0,4.804021044733257,20.292482920853956
Quinta Camacho,Apartamento,3,4.0,0,5.241747015059643,20.595432465436527
Usaquén,Apartamento,3,3.0,0,5.3230099791384085,21.128730945054574
Bella Suiza,Apartamento,2,2.0,0,4.394449154672439,20.36659089300768
Cedritos,Apartamento,3,3.0,0,4.836281906951478,20.530893944298956
El Chicó,Apartamento,2,3.0,0,4.859812404361672,21.289467440426712
El Chicó,Apartamento,1,2.0,0,4.060443010546419,20.533438406226544
El Chicó,Apartamento,2,3.0,0,4.532599493153256,21.033670847110507
Usaquén,Apartamento,2,2.0,0,4.1588830833596715,19.92475814072864
El Chicó,Apartamento,1,2.0,0,3.9512437185814275,20.48774865326675
El Chicó,Apartamento,1,2.0,0,3.9512437185814275,20.431053987193565
Cedritos,Apartamento,3,3.0,0,4.672828834461906,20.650695144111577
