price,location,type,bedrooms,bathrooms,area,parking
$ 160.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Local comercial en Venta en Chapinero,,1 baño,20 m²,Parqueadero
$ 850.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Suba,4 habitaciones,3 baños,270 m²,Parqueadero
$ 510.000.000,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Pasadena,,,40 m²,Parqueadero
$ 3.200.000.000,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",Local comercial en Venta en Antonio Nariño,,,805 m²,Parqueadero
$ 2.200.000.000,"Ricaurte, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",Casa en Venta en Ricaurte,,,252 m²,
$ 2.100.000.000,"Colinas De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Colinas De Suba,4 habitaciones,"3,5 baños",395 m²,Parqueadero
$ 1.900.000.000,"Colinas De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Colinas De Suba,3 habitaciones,4 baños,204 m²,
$ 3.900.000.000,"Cabrero, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Cabrero,3 habitaciones,"3,5 baños",248 m²,
$ 3.485.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,4 habitaciones,"4,5 baños",410 m²,Parqueadero
$ 1.250.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Suba,3 habitaciones,"3,5 baños",175 m²,
$ 1.150.000.000,"Colinas De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Colinas De Suba,3 habitaciones,"3,5 baños",197 m²,Parqueadero
$ 720.000.000,"Alhambra, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Alhambra,3 habitaciones,3 baños,184 m²,Parqueadero
$ 1.190.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,3 habitaciones,"2,5 baños",130 m²,Parqueadero
$ 1.680.000.000,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chico Reservado,2 habitaciones,"2,5 baños",153 m²,Parqueadero
$ 1.100.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,2 habitaciones,2 baños,122 m²,Parqueadero
$ 1.640.000.000,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Fontibón,,1 baño,126 m²,Parqueadero
USD 1.500.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,3 habitaciones,"3,5 baños",208 m²,Parqueadero
$ 570.000.000,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartaestudio en Venta en San Patricio,,1 baño,41 m²,
$ 1.750.000.000,"El Virrey, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Virrey,3 habitaciones,"2,5 baños",160 m²,Parqueadero
$ 700.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,2 habitaciones,2 baños,100 m²,Parqueadero
$ 1.160.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,2 habitaciones,"2,5 baños",90 m²,Parqueadero
$ 195.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartaestudio en Venta en Usaquén,,1 baño,23 m²,
$ 600.000.000,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartaestudio en Venta en San Patricio,,1 baño,41 m²,Parqueadero
$ 1.900.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrios Unidos,5 habitaciones,"2,5 baños",450 m²,Parqueadero
$ 2.100.000.000,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrancas,,2 baños,244 m²,Parqueadero
$ 1.250.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,3 habitaciones,"3,5 baños",200 m²,Parqueadero
$ 2.750.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrios Unidos,,3 baños,329 m²,Parqueadero
$ 700.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,2 habitaciones,2 baños,118 m²,Parqueadero
$ 700.000.000,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Pasadena,,,53 m²,Parqueadero
$ 520.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Suba,,,54 m²,Parqueadero
$ 3.600.000.000,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Engativa,,,120 m²,
$ 350.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Usaquén,,,45 m²,
$ 385.000.000,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Casa en Venta en Engativa,7 habitaciones,3 baños,53 m²,Parqueadero
$ 1.900.000.000,"Normandia, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Casa en Venta en Normandia,16 habitaciones,17 baños,540 m²,Parqueadero
